"LG_ID","DIstrict","totalPopulation_2014","groupQuaterPopulation_2014","householdPopulation_2014","householdSize_2014","totalHousingUnits_2014","households_2014","vacantHousingUnits_2014","vacancyRate_2014","totalPopulation_2015","groupQuaterPopulation_2015","householdPopulation_2015","householdSize_2015","totalHousingUnits_2015","households_2015","vacantHousingUnits_2015","vacancyRate_2015"
"65783","Highlands Ranch Metro Dist",99099,21.00,99078.00,2.95,34606.00,33531.00,1075.00,3.10,100944,21.00,100923.00,2.96,35096.00,34006.00,1090.00,3.10
"65844","St Vrain Lakes Metro District No 2",0,0.00,0.00,,0.00,0.00,0.00,,0,0.00,0.00,,0.00,0.00,0.00,
"65845","St Vrain Lakes Metro District No 3",0,0.00,0.00,,0.00,0.00,0.00,,0,0.00,0.00,,0.00,0.00,0.00,
"65846","St Vrain Lakes Metro District No 4",,0.00,,,0.00,,,,,0.00,,,0.00,,,
"65882","Fossil Ridge Metro District No 2",307,0.00,307.00,2.92,173.00,105.00,68.00,39.30,314,0.00,314.00,2.93,177.00,107.00,70.00,39.54
"65883","Fossil Ridge Metro District No 3",360,0.00,360.00,2.92,205.00,123.00,82.00,40.00,367,0.00,367.00,2.93,209.00,125.00,84.00,40.19
"65955","ClearCreekMD2",,0.00,,,0.00,,,,,0.00,,,0.00,,,
"65956","ClearCreekMD3",,0.00,,,0.00,,,,,0.00,,,0.00,,,
"66136","Coal Creek Canyon PRD",866,2.00,864.00,2.20,488.00,392.00,96.00,19.67,872,2.00,870.00,2.21,488.00,392.00,96.00,19.67
"66136","Coal Creek Canyon PRD",1963,0.00,1963.00,2.32,972.00,844.00,128.00,13.16,1976,0.00,1976.00,2.32,979.00,850.00,129.00,13.17
"66164","Norwood Park and Recreation District",1437,0.00,1437.00,2.37,779.00,605.00,174.00,22.33,1448,0.00,1448.00,2.38,780.00,606.00,174.00,22.30
