OBJECTID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
267,8,67830,2413256,867830,Sanford,Sanford town,43,C1,N,N,G4110,A,3793112,0,37.2574248,-105.900741,0.079075256,0.00038527
268,8,22200,2412456,822200,Eagle,Eagle town,43,C1,N,N,G4110,A,11894920,"51,970.00",39.6344958,-106.8164019,0.377126991,0.001253461
269,8,33695,2412716,833695,Gypsum,Gypsum town,43,C1,N,N,G4110,A,22406929,"220,023.00",39.6399706,-106.9114712,0.705343269,0.00237373
270,8,59830,2413138,859830,Pitkin,Pitkin town,43,C1,N,N,G4110,A,699223,0,38.6086116,-106.5164662,0.044501093,7.23157E-05
271,8,56365,2413094,856365,Otis,Otis town,43,C1,N,N,G4110,A,1069677,0,40.1501287,-102.9621385,0.054323309,0.00011306
272,8,320,2407696,800320,Acres Green,Acres Green CDP,57,U1,N,N,G4210,S,1563397,0,39.5557798,-104.8957152,0.056634183,0.000163842
273,8,620,2583206,800620,Aetna Estates,Aetna Estates CDP,57,U2,N,N,G4210,S,339480,0,39.7381267,-104.6732335,0.029937079,3.56698E-05
274,8,870,2407701,800870,Air Force Academy,Air Force Academy CDP,57,M2,N,N,G4210,S,25872590,0,38.9941855,-104.8639219,0.231639314,0.002690116
275,8,1145,2407709,801145,Alamosa East,Alamosa East CDP,57,U2,N,N,G4210,S,8396563,0,37.476689,-105.8396765,0.129802198,0.000855301
276,8,1420,2407720,801420,Allenspark,Allenspark CDP,57,U1,N,N,G4210,S,30419903,"50,304.00",40.2312815,-105.5179861,0.494130776,0.00322335
277,8,1640,2583207,801640,Alpine,Alpine CDP,57,U1,N,N,G4210,S,2702665,0,37.6877918,-106.5861815,0.095369789,0.000276071
278,8,1740,2583208,801740,Altona,Altona CDP,57,U1,N,N,G4210,S,4366480,"149,282.00",40.1219279,-105.2961651,0.122719968,0.000477125
279,8,1915,2583209,801915,Amherst,Amherst CDP,57,U1,N,N,G4210,S,1174532,0,40.6831581,-102.1726086,0.056113192,0.000125113
280,8,2575,2407749,802575,Applewood,Applewood CDP,57,U1,N,N,G4210,S,10581441,"1,091,004.00",39.7474215,-105.1729683,0.2671519,0.001226686
281,8,2905,2407753,802905,Arboles,Arboles CDP,57,U1,N,N,G4210,S,13386498,"2,661,213.00",37.0208607,-107.4217441,0.166961734,0.001624964
282,8,3015,2407757,803015,Aristocrat Ranchettes,Aristocrat Ranchettes CDP,57,U1,N,N,G4210,S,4834627,0,40.1096005,-104.7549498,0.100418465,0.000510699
283,8,3730,2407775,803730,Aspen Park,Aspen Park CDP,57,U1,N,N,G4210,S,6438068,"17,149.00",39.5426537,-105.2963075,0.143290807,0.000676368
284,8,3840,2407778,803840,Atwood,Atwood CDP,57,U1,N,N,G4210,S,2677997,0,40.5504765,-103.2745982,0.074847936,0.000284709
285,8,4165,2407788,804165,Avondale,Avondale CDP,57,U1,N,N,G4210,S,3061775,"20,790.00",38.2318362,-104.3408807,0.096111228,0.000317192
286,8,4620,2583210,804620,Bark Ranch,Bark Ranch CDP,57,U1,N,N,G4210,S,2232409,"24,680.00",40.1178027,-105.4407183,0.062788566,0.000238446
287,8,5120,2407805,805120,Battlement Mesa,Battlement Mesa CDP,57,U1,N,N,G4210,S,29973279,"616,396.00",39.4527675,-108.0039402,0.383842245,0.003200983
288,8,6172,2407830,806172,Berkley,Berkley CDP,57,U1,N,N,G4210,S,9441072,"1,230,826.00",39.8074927,-105.0291291,0.192068857,0.001122373
289,8,6602,2407835,806602,Beulah Valley,Beulah Valley CDP,57,U1,N,N,G4210,S,17791316,"5,052.00",38.0528666,-104.9791947,0.268641591,0.001827068
290,8,6970,2407856,806970,Black Forest,Black Forest CDP,57,U1,N,N,G4210,S,260633591,"151,490.00",39.063647,-104.6796099,0.808127627,0.027140442
291,8,7245,2583212,807245,Blende,Blende CDP,57,U1,N,N,G4210,S,3488145,"178,567.00",38.2527262,-104.5662666,0.089337843,0.000377361
292,8,7420,2583213,807420,Blue Sky,Blue Sky CDP,57,U2,N,N,G4210,S,92706,0,40.3000945,-103.8055283,0.011975689,9.82004E-06
293,8,7580,2583214,807580,Bonanza Mountain Estates,Bonanza Mountain Estates CDP,57,U1,N,N,G4210,S,435907,0,39.9768904,-105.4795771,0.029323836,4.59584E-05
294,8,8290,2583215,808290,Brandon,Brandon CDP,57,U1,N,N,G4210,S,304291,0,38.4463995,-102.4411549,0.02531588,3.1401E-05
295,8,8530,2583216,808530,Brick Center,Brick Center CDP,57,U2,N,N,G4210,S,15023214,"52,255.00",39.5912307,-104.4605792,0.236607518,0.001580882
296,8,10985,2407933,810985,Byers,Byers CDP,57,U1,N,N,G4210,S,29656546,"1,355,827.00",39.709435,-104.2128484,0.228499564,0.003257203
297,8,11975,2583218,811975,Capulin,Capulin CDP,57,U1,N,N,G4210,S,2452765,0,37.2818857,-106.1049463,0.082338181,0.000249209
298,8,12325,2407982,812325,Cascade-Chipita Park,Cascade-Chipita Park CDP,57,U2,N,N,G4210,S,34961070,"22,625.00",38.9481105,-104.9978229,0.438600845,0.003634877
