"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013"
"003",1,"99990","Unincorp. Area",6562,68,6494,2.57,2821,2525,296,10.49,6575,68,6507,2.57,2824,2530,294,10.41,6657,68,6589,2.57,2838,2562,276,9.72,6667,68,6599,2.57,2850,2566,284,9.96,6684,68,6616,2.57,2861,2572,289,10.10
"031",1,"20000","Denver",600158,15981,584177,2.22,285797,263107,22690,7.93,604879,15981,588898,2.22,286636,265233,21403,7.46,620977,16130,604847,2.22,287749,272416,15333,5.32,634903,16124,618779,2.22,289043,278691,10352,3.58,648937,16053,632884,2.22,290496,285044,5452,1.87
"033",1,"64090","Rico",265,0,265,2.12,210,125,85,40.47,264,0,264,2.11,210,125,85,40.47,259,0,259,2.12,210,122,88,41.90,255,0,255,2.12,210,120,90,42.85,259,0,259,2.12,211,122,89,42.18
"033",1,"21265","Dove Creek",735,0,735,2.37,360,309,51,14.16,734,0,734,2.37,360,309,51,14.16,719,0,719,2.38,360,302,58,16.11,708,0,708,2.37,360,298,62,17.22,716,0,716,2.37,360,301,59,16.38
"033",1,"99990","Unincorp. Area",1064,0,1064,2.28,898,465,433,48.21,1062,0,1062,2.28,898,464,434,48.32,1042,0,1042,2.29,898,455,443,49.33,1024,0,1024,2.28,898,448,450,50.11,1037,0,1037,2.28,898,453,445,49.55
"035",1,"57630","Parker",45297,28,45269,2.84,16533,15917,616,3.72,45488,38,45450,2.84,16544,15981,563,3.40,46182,38,46144,2.84,16652,16225,427,2.56,47315,38,47277,2.84,16873,16623,250,1.48,48652,38,48614,2.84,17230,17094,136,0.78
"035",1,"12390","City of Castle Pines",10360,0,10360,2.96,3637,3493,144,3.95,10403,8,10395,2.96,3637,3505,132,3.62,10534,8,10526,2.96,3651,3549,102,2.79,10689,8,10681,2.96,3664,3601,63,1.71,10784,8,10776,2.96,3671,3633,38,1.03
"035",1,"12415","Castle Rock",48231,460,47771,2.86,17626,16688,938,5.32,48666,543,48123,2.86,17697,16811,886,5.00,49761,523,49238,2.86,17951,17201,750,4.17,50791,523,50268,2.86,18125,17561,564,3.11,52735,548,52187,2.86,18686,18231,455,2.43
"035",,"04000","Aurora (Part)",117,0,117,2.85,48,41,7,14.58,117,0,117,2.85,48,41,7,14.58,195,0,195,2.86,79,68,11,13.92,250,0,250,2.84,100,88,12,12.00,274,0,274,2.85,109,96,13,11.92
"035",1,"43550","Larkspur",183,0,183,2.25,90,81,9,10.00,184,0,184,2.27,90,81,9,10.00,185,0,185,2.25,90,82,8,8.88,187,0,187,2.25,90,83,7,7.77,189,0,189,2.25,90,84,6,6.66
"035",,"45255","Littleton (Part)",28,0,28,1.86,17,15,2,11.76,28,0,28,1.86,17,15,2,11.76,28,0,28,1.86,17,15,2,11.76,29,0,29,1.81,17,16,1,5.88,29,0,29,1.81,17,16,1,5.88
"035",1,"45955","Lone Tree",10218,0,10218,2.53,4226,4023,203,4.80,10420,0,10420,2.53,4292,4103,189,4.40,11264,0,11264,2.53,4600,4435,165,3.58,11625,0,11625,2.53,4695,4577,118,2.51,12214,0,12214,2.53,4899,4809,90,1.83
"035",1,"99990","Unincorp. Area",171031,163,170868,2.76,64682,61760,2922,4.51,171818,211,171607,2.76,64747,62027,2720,4.20,174220,211,174009,2.76,65087,62895,2192,3.36,177448,211,177237,2.76,65565,64062,1503,2.29,181156,211,180945,2.76,66473,65402,1071,1.61
